subyekt;nomer regiona;y1;y2;y3;y4;y5;y;god;x1
Cakhalinskaya oblast ;83;31.4;44928,00;45139,00;38.6;44952,00;20547.1;2016,00;14001,00
Evreyskaya avt. oblast ;84;33.9;45108,00;44959,00;37.7;45040,00;13157.6;2016,00;14001,00
Chukotskiy avt. okrug ;85;38.8;0.4;44959,00;26,00;32.7;23953,00;2016,00;14001,00
Belgorodskaya oblast ;1;45198,00;45141,00;44986,00;42,00;23,00;18084,00;2017,00;19025,00
Bryanskaya oblast ;2;41.9;45078,00;44986,00;45169,00;45039,00;12121.8;2017,00;19025,00
Bladimirskaya oblast ;3;35.6;45139,00;44986,00;35.3;26,00;14509,00;2017,00;19025,00
Boronezhskaya oblast ;4;32.3;0.8;44986,00;42.4;44980,00;14269.9;2017,00;19025,00
Ivanovskaya oblast ;5;29,00;45018,00;44987,00;41,00;45010,00;17259,00;2017,00;19025,00
Kaluzhskaya oblast ;6;34.2;44959,00;44959,00;40.5;45189,00;17248.3;2017,00;19025,00
Kostromskaya oblast ;7;33.1;45048,00;44959,00;39.3;45191,00;15137.8;2017,00;19025,00
Kurskaya oblast ;8;32.2;44987,00;45139,00;42.8;45189,00;14842.2;2017,00;19025,00
Lipetskaya oblast ;9;35.2;45108,00;45047,00;36.8;45162,00;14833,00;2017,00;19025,00
Moskovskaya oblast ;10;44954,00;44930,00;45047,00;34.3;32,00;21297.2;2017,00;19025,00
Orlovskaya oblast ;11;32.2;44928,00;44986,00;42.3;44948,00;14201.8;2017,00;19025,00
Pyazanskaya oblast ;12;38.8;44986,00;0.8;36.5;45099,00;12436,00;2017,00;19025,00
Cmolenskaya oblast ;13;42.1;0.7;44986,00;45076,00;45041,00;13097.8;2017,00;19025,00
Tambovskaya oblast ;14;45199,00;44927,00;0.8;42.8;45040,00;11429.3;2017,00;19025,00
Tverskaya oblast ;15;39.4;45048,00;44928,00;45137,00;45010,00;14592.1;2017,00;19025,00
Tulskaya oblast ;16;37.4;45078,00;45139,00;34,00;44982,00;15226,00;2017,00;19025,00
Yaroslavskaya oblast ;17;45016,00;45078,00;45017,00;35.9;45167,00;14277.1;2017,00;19025,00
g.Moskva ;18;26,00;44989,00;45108,00;38.5;45075,00;29549.7;2017,00;19025,00
Respublika Kareliya ;19;36,00;45170,00;44959,00;35.1;45162,00;16244.8;2017,00;19025,00
Respublika Komi ;20;33.3;44959,00;44959,00;32.7;45106,00;16313.4;2017,00;19025,00
Arkhangelskaya oblast ;21;45135,00;44959,00;44986,00;42.4;45041,00;18844.1;2017,00;19025,00
Nenetskiy avt. okrug ;22;33.9;0.1;45109,00;45134,00;35.6;21452.6;2017,00;19025,00
Bologodskaya oblast ;23;34,00;44960,00;44928,00;34.5;44983,00;15452.4;2017,00;19025,00
Kaliningradskaya oblast ;24;35.6;44929,00;45047,00;36.8;23,00;14061.7;2017,00;19025,00
Leningradskaya oblast ;25;45199,00;45018,00;45108,00;37,00;28,00;17538.2;2017,00;19025,00
Murmanskaya oblast ;26;27,00;44987,00;44987,00;37.9;45076,00;23776.1;2017,00;19025,00
Hovgorodskaya oblast ;27;32.3;45171,00;0.8;36.5;45073,00;14533.1;2017,00;19025,00
Pskovskaya oblast ;28;34.6;45017,00;45170,00;39.2;45191,00;12793.7;2017,00;19025,00
g. Sankt-Peterburg ;29;45043,00;45051,00;2,00;36,00;44955,00;25142.2;2017,00;19025,00
Respublika Adygeya ;30;35.1;44959,00;0.8;37.5;45040,00;13095.1;2017,00;19025,00
Respublika Kalmykiya ;31;34.1;0.8;1,00;43.7;45036,00;10780.6;2017,00;19025,00
Respublika Krym ;36;43.9;44987,00;45017,00;31.6;45158,00;12115.3;2017,00;19025,00
Krasnodarskiy kray ;32;33,00;45171,00;45108,00;36.3;44952,00;16076.2;2017,00;19025,00
Astrakhanskaya oblast ;33;35.2;45171,00;45170,00;35.3;45131,00;14713.7;2017,00;19025,00
Bolgogradskaya oblast ;34;34.1;45047,00;45017,00;37.6;45041,00;13874.6;2017,00;19025,00
Postovskaya oblast ;35;32.7;45081,00;45109,00;32.5;45073,00;15394.8;2017,00;19025,00
g. Sevastopol ;37;51.6;44927,00;45170,00;45195,00;45064,00;18164.3;2017,00;19025,00
Respublika Dagestan ;38;58.5;0.2;0.4;45012,00;45090,00;9581.7;2017,00;19025,00
Respublika Ingushetiya ;39;59.7;0.4;0,00;45045,00;45056,00;7483.3;2017,00;19025,00
Kabardino-Balkarskaya respublika ;40;40.4;0.6;0.6;39.1;45004,00;11443.5;2017,00;19025,00
