subyekt,nomer subyekta,y1,y2,y3,y4,y5,y,god,x
Kirovskaya oblast ,43,31.7,3.5,2.6,37.5,24.7,14010.6,2017,2.52
Hizhegorodskaya oblast ,52,29.2,3.1,1.2,33.2,33.3,16775.3,2017,2.52
Orenburgskaya oblast ,56,29.8,2.4,1.3,44.2,22.3,14369,2017,2.52
Penzenskaya oblast ,58,34.9,5.5,1.8,36.5,21.3,13435.8,2017,2.52
Camarskaya oblast ,63,31.7,2.7,1.8,36,27.8,15056.6,2017,2.52
Caratovskaya oblast ,64,42.3,1.6,1.3,28.9,25.9,11047.7,2017,2.52
Ulyanovskaya oblast ,73,36.9,2.1,1.1,32.9,27,12050.5,2017,2.52
Kurganskaya oblast ,45,30.2,0.6,1.6,47.4,20.2,12623.1,2017,2.52
Cverdlovskaya oblast ,66,31,4.3,1.6,33.3,29.8,17630.7,2017,2.52
Tyumenskaya oblast ,72,29.4,1.4,1.5,41.4,26.3,19316.5,2017,2.52
  Khanty-Mansiyskiy avt.okrug ,86,24.4,1.7,1.5,45.9,26.5,23009.5,2017,2.52
  Yamalo-Nenetskiy avt. okrug ,89,31.1,1.1,2.9,30.7,34.2,20416.8,2017,2.52
Chelyabinskaya oblast ,74,30.4,2.7,1.4,37.1,28.4,14430.8,2017,2.52
Respublika Altay ,4,30.7,1,1,43.8,23.5,10793.4,2017,2.52
Respublika Buryatiya ,3,32.8,2.5,1,39.7,24,11749.6,2017,2.52
Respublika Tyva ,17,36.6,2.2,1.2,37.5,22.5,8411.9,2017,2.52
Respublika Khakasiya ,19,31.2,1.4,1.6,42.8,23,13317.5,2017,2.52
Altayskiy kray ,22,33.8,1.2,1.8,38.6,24.6,11979.7,2017,2.52
Zabaykalskiy kray ,75,33.7,3,2.1,37.2,24,13379,2017,2.52
Krasnoyarskiy kray ,24,28.7,2.2,1.9,37.7,29.5,17765,2017,2.52
Irkutskaya oblast ,38,33.3,1.4,1.1,39.7,24.5,13049.7,2017,2.52
Kemerovskaya oblast ,42,34.8,1.2,1.8,37,25.2,11866.9,2017,2.52
Hovosibirskaya oblast ,54,31.9,6.1,2,41,19,13779.2,2017,2.52
Omskaya oblast ,55,33.4,2.6,1.7,30.8,31.5,12812.3,2017,2.52
Tomskaya oblast ,70,28.4,2.5,1.4,41.2,26.5,16538.9,2017,2.52
Respublika Sakha(Yakutiya) ,14,30.6,4.6,1.3,32,31.5,22611.5,2017,2.52
Kamchatskiy kray ,41,27.7,2.2,1.8,40.8,27.5,30416.9,2017,2.52
Primorskiy kray ,25,30,3.8,1.7,35.8,28.7,18025.5,2017,2.52
Xabarovskiy kray ,27,27.1,3,2.1,35.3,32.5,20744.3,2017,2.52
Amurskaya oblast ,28,31,1.4,1.7,35.8,30.1,14534.3,2017,2.52
Magadanskaya oblast ,49,36.3,1.4,1.1,30.2,31,24066.1,2017,2.52
Cakhalinskaya oblast ,65,30.1,1,1.3,41.5,26.1,25126.5,2017,2.52
Evreyskaya avt. oblast ,79,31.2,1.9,2.7,41.3,22.9,14866.3,2017,2.52
Chukotskiy avt. okrug ,87,39.8,0.2,2.1,28.4,29.5,24621.2,2017,2.52
Belgorodskaya oblast ,31,30.6,2.05,1.33,43.43,22.58,16683.68,2018,4.27
Bryanskaya oblast ,32,36.8,1.68,1.55,38.23,21.73,13723.05,2018,4.27
Bladimirskaya oblast ,33,36.45,1.3,1.13,33.45,27.68,14603.5,2018,4.27
Boronezhskaya oblast ,36,32.45,0.68,1.13,39.6,26.2,15762.58,2018,4.27
Ivanovskaya oblast ,37,29.83,1.7,2.38,38.78,27.3,17182.45,2018,4.27
Kaluzhskaya oblast ,40,30.85,2.23,1.4,43.48,22.05,17920.35,2018,4.27
Kostromskaya oblast ,44,34.78,1.98,2.35,36.83,24.1,14880.78,2018,4.27
Kurskaya oblast ,46,32.6,1.68,1.73,42.5,21.45,15039.45,2018,4.27
Lipetskaya oblast ,48,33.78,3.03,1.2,36.85,25.13,15194.23,2018,4.27
Moskovskaya oblast ,50,25.35,3.18,1.33,38.33,31.85,23531.58,2018,4.27
Orlovskaya oblast ,57,33.2,1.53,1.2,40.08,24,13598.75,2018,4.27
Ryazanskaya oblast ,62,40.73,1.43,1.1,31.03,25.75,10951.93,2018,4.27
Smolenskaya oblast ,67,45.48,0.45,0.95,29.48,23.68,13805.15,2018,4.27
Tambovskaya oblast ,68,29.83,1.4,0.55,41.8,26.43,12428.98,2018,4.27
Tverskaya oblast ,69,37.65,1.78,1.95,32.48,26.1,14549.35,2018,4.27
Tulskaya oblast ,71,38.53,1.4,1.8,31.35,26.93,15389.9,2018,4.27
Yaroslavskaya oblast ,76,31.98,2.9,1.55,33.58,30,15542.18,2018,4.27
g. Moskva ,77,24.53,5.63,1.88,35.95,32,31277.43,2018,4.27
Respublika Kareliya ,10,31.53,1.35,1.9,41.4,23.85,17438.63,2018,4.27
Respublika Komi ,11,32.4,1.93,1.68,34.78,29.2,16980.03,2018,4.27
Arkhangelskaya oblast ,29,29.83,3.18,1.63,38.7,26.7,19030.5,2018,4.27
Nenetsskiy avtonomnyy okrug,83,32.53,0,2.33,30.6,34.55,23036.53,2018,4.27
Bologodskaya oblast ,35,34.33,3.38,1.7,35.23,25.38,17024.1,2018,4.27
Kaliningradskaya oblast ,39,33.55,5.15,1.35,37.25,22.7,14896.15,2018,4.27
Leningradskaya oblast ,47,33.48,2.68,1.58,32.15,30.13,16470,2018,4.27
Murmanskaya oblast ,51,25.3,2.55,2.28,38.83,31.05,25573.35,2018,4.27
Novgorodskaya oblast ,53,34.18,2.53,1.05,33.93,28.33,13571.75,2018,4.27
Pskovskaya oblast ,60,35.03,1.75,1.95,36.03,25.25,13116.85,2018,4.27
g. Sankt-Peterburg ,78,27.5,4.85,1.73,32.25,33.68,23922,2018,4.27
Respublika Adygeya ,1,33.35,1.65,0.85,39.1,25.05,14544.45,2018,4.27
Respublika Kalmykiya ,8,36.13,1.05,1.13,40.55,21.13,10877,2018,4.27
Respublika Krym ,91,42.73,3.48,1.28,31.3,21.23,12613.95,2018,4.27
